id,race_id,startracetime,endracetime,startraceprog,endraceprog,startlap,endlap,type
44,44,4906.0,4998.0,49.801,50.772,50,51,VSC
45,44,6349.0,6401.0,67.733,68.333,68,69,VSC
46,45,818.0,886.0,10.297,10.981,11,11,VSC
47,47,1892.0,2451.0,26.163,30.932,27,31,SC
48,48,0.0,847.0,0.0,4.906,1,5,SC
49,48,1054.0,1178.0,6.613,7.539,7,8,VSC
50,51,213.0,309.0,1.825,2.576,2,3,VSC
51,51,642.0,2395.0,5.361,9.983,6,10,SC
52,53,33.0,326.0,0.208,1.961,1,2,SC
53,54,76.0,265.0,0.608,2.05,1,3,VSC
54,54,897.0,1104.0,8.256,9.84,9,10,VSC
55,54,4162.0,4477.0,40.178,42.205,41,43,VSC
56,56,3179.0,3452.0,30.385,32.392,31,33,VSC
57,57,57.0,79.0,0.577,0.799,1,1,VSC
58,57,79.0,334.0,0.799,2.954,1,3,SC
59,58,0.0,851.0,0.0,6.955,1,7,SC
60,58,1370.0,2135.0,12.852,18.932,13,19,SC
61,58,2158.0,7083.0,19.124,30.918,20,31,SC
62,58,8550.0,9464.0,47.852,54.909,48,55,SC
63,61,143.0,379.0,1.248,2.915,2,3,VSC
64,61,445.0,1031.0,3.41,6.949,4,7,SC
65,62,1242.0,1722.0,12.7,15.955,13,16,SC
66,63,42.0,426.0,0.335,2.936,1,3,SC
67,64,2945.0,3202.0,33.894,36.07,34,37,VSC
68,65,4625.0,5332.0,59.848,65.888,60,66,SC
69,66,37.0,342.0,0.335,2.841,1,3,SC
70,66,954.0,1237.0,10.582,13.423,11,14,VSC
71,67,1276.0,2464.0,11.783,18.919,12,19,SC
72,67,2537.0,4452.0,19.454,22.99,20,23,SC
73,69,134.0,498.0,1.314,3.899,2,4,SC
74,70,72.0,608.0,0.763,4.902,1,5,SC
75,71,3241.0,3887.0,29.292,32.899,30,33,SC
76,73,25.0,743.0,0.139,3.948,1,4,SC
77,73,1614.0,2169.0,10.843,13.921,11,14,SC
78,73,4992.0,5579.0,37.648,40.913,38,41,SC
79,75,121.0,358.0,1.201,2.909,2,3,SC
80,75,884.0,1063.0,8.315,9.819,9,10,VSC
81,75,4611.0,4877.0,46.989,49.092,47,50,VSC
82,77,2589.0,2743.0,31.74,33.047,32,34,VSC
83,78,40.0,608.0,0.356,4.888,1,5,SC
84,80,2273.0,2515.0,25.306,27.21,26,28,VSC
85,80,2515.0,3006.0,27.21,30.893,28,31,SC
86,81,186.0,412.0,1.903,3.734,2,4,VSC
87,82,3079.0,3685.0,30.971,34.912,31,35,SC
88,83,80.0,794.0,0.54,4.814,1,5,SC
89,83,4569.0,5782.0,39.843,46.919,40,47,SC
90,84,75.0,778.0,0.693,5.911,1,6,SC
91,84,3608.0,3817.0,40.297,42.126,41,43,VSC
92,85,5673.0,5808.0,72.01,73.34,73,74,VSC
93,86,47.0,458.0,0.466,3.798,1,4,SC
94,87,48.0,723.0,0.371,4.945,1,5,SC
95,87,5183.0,5339.0,51.055,52.319,52,53,VSC
96,88,1001.0,1124.0,14.309,15.729,15,16,VSC
97,89,3049.0,3697.0,32.346,36.899,33,37,SC
98,89,3803.0,4224.0,38.0,40.883,39,41,SC
99,90,4129.0,4781.0,51.857,56.921,52,57,SC
100,91,499.0,566.0,5.911,6.616,6,7,VSC
101,91,4240.0,4326.0,50.668,51.578,51,52,VSC
102,92,40.0,661.0,0.267,3.883,1,4,SC
103,93,70.0,371.0,0.654,2.978,1,3,SC
104,94,35.0,623.0,0.244,3.931,1,4,SC
105,96,318.0,848.0,3.26,6.93,4,7,SC
106,96,4056.0,4127.0,40.498,41.163,41,42,VSC
107,97,1007.0,1186.0,10.014,11.387,11,12,VSC
108,98,362.0,402.0,4.362,4.767,5,5,VSC
109,98,2504.0,2693.0,30.184,31.957,31,32,VSC
110,98,5116.0,5280.0,61.6,63.189,62,64,VSC
111,100,64.0,614.0,0.475,3.944,1,4,SC
112,100,870.0,1080.0,6.297,7.865,7,8,VSC
113,102,5326.0,Inf,54.631,57.0,55,57,SC
114,103,87.0,149.0,0.818,1.392,1,2,VSC
115,104,4207.0,4412.0,39.086,40.591,40,41,VSC
116,105,3782.0,4629.0,45.596,51.973,46,52,SC
117,106,805.0,1225.0,10.303,13.95,11,14,SC
118,108,4769.0,4796.0,49.832,50.1,50,51,VSC
119,110,1808.0,2278.0,19.756,22.966,20,23,SC
120,111,202.0,457.0,2.057,3.952,3,4,SC
121,111,1435.0,1514.0,14.657,15.427,15,16,VSC
122,111,2748.0,3396.0,28.298,32.933,29,33,SC
123,111,4092.0,4626.0,40.664,44.944,41,45,SC
124,111,5567.0,5880.0,56.403,58.953,57,59,SC
125,113,57.0,665.0,0.414,3.956,1,4,SC
126,114,2408.0,2461.0,28.101,28.632,29,29,VSC
127,114,2591.0,2662.0,30.088,30.75,31,31,VSC
128,115,3903.0,4596.0,35.709,39.942,36,40,SC
129,115,4990.0,5542.0,43.522,46.928,44,47,SC
130,115,5846.0,6051.0,49.651,50.942,50,51,SC
131,116,54.0,437.0,0.431,2.922,1,3,SC
132,116,2874.0,3013.0,27.384,28.457,28,29,VSC
133,116,3062.0,3572.0,28.807,31.934,29,32,SC
134,118,74.0,218.0,0.823,2.213,1,3,VSC
135,120,3946.0,4558.0,53.418,58.883,54,59,SC
136,120,5061.0,5416.0,65.72,68.74,66,69,SC
